system,topic_id,status,candidate_chars,reference_chars,rouge1,rouge2,rougeL,bertscore_precision,bertscore_recall,bertscore_f1
vanilla_llm,fw24_001,ok,1264,36004,0.03270042194092827,0.002111932418162619,0.026371308016877638,0.7768195867538452,0.7905744314193726,0.7836366891860962
self_refine,fw24_001,ok,1326,36004,0.03711558854718982,0.004246284501061571,0.02969247083775186,0.7796281576156616,0.7908021211624146,0.7851753830909729
cogwriter_adapter,fw24_001,ok,1286,36004,0.024731182795698924,0.0021586616297895305,0.01935483870967742,0.7813241481781006,0.7936863303184509,0.7874566912651062
longwriter_gguf_ollama,fw24_001,failed_invalid_output,0,36004,0.0,0.0,0.0,,,
arise_adapter,fw24_001,ok,1335,36004,0.029334730225248823,0.002103049421661409,0.024096385542168672,0.7784309983253479,0.7930175065994263,0.7856565117835999
flowernet_full,fw24_001,ok,4803,36004,0.08081791626095423,0.0058479532163742695,0.062317429406037,0.778732180595398,0.7970557808876038,0.7877873778343201
flowernet_wo_bandit,fw24_001,ok,4940,36004,0.0593385214007782,0.0038948393378773127,0.04766536964980545,0.782258927822113,0.7940570116043091,0.7881138324737549
flowernet_wo_nli,fw24_001,ok,5008,36004,0.05333333333333334,0.003954522985664854,0.04246913580246913,0.7830421924591064,0.7957547903060913,0.7893472909927368
flowernet_wo_multidim,fw24_001,ok,4909,36004,0.051256776737309016,0.002967359050445104,0.04238541153277476,0.7772088050842285,0.7916649580001831,0.7843703031539917
vanilla_llm,fw24_002,ok,1204,28442,0.03156822810590631,0.0050968399592252805,0.019348268839103868,0.7909793853759766,0.7976791262626648,0.7943150997161865
self_refine,fw24_002,ok,1155,28442,0.0274949083503055,0.004077471967380224,0.015274949083503056,0.7975979447364807,0.7988120913505554,0.7982045412063599
cogwriter_adapter,fw24_002,ok,1157,28442,0.02365038560411311,0.0029069767441860465,0.014395886889460153,0.7895824909210205,0.7947641611099243,0.7921648621559143
longwriter_gguf_ollama,fw24_002,failed_invalid_output,0,28442,0.0,0.0,0.0,,,
arise_adapter,fw24_002,ok,1179,28442,0.023517382413087935,0.0040941658137154556,0.016359918200409,0.7858934998512268,0.7955296635627747,0.7906821966171265
flowernet_full,fw24_002,ok,4694,28442,0.04572803850782191,0.007237635705669482,0.02972195589645254,0.7939406633377075,0.8057405948638916,0.7997971177101135
flowernet_wo_bandit,fw24_002,ok,4798,28442,0.06388206388206388,0.012315270935960588,0.036855036855036855,0.7933884263038635,0.8048373460769653,0.7990718483924866
flowernet_wo_nli,fw24_002,ok,4619,28442,0.044318717586044325,0.008494572911750826,0.028288543140028287,0.7931079864501953,0.80034339427948,0.7967092394828796
